procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13166084 318796 2220904    0    0     0    72  159  168  5  1 92  2  0
 0  0      0 13166084 318796 2220904    0    0     0     0  154  149  6  0 94  0  0
 0  0      0 13166084 318796 2220904    0    0     0     0  195  176  7  0 93  0  0
 0  0      0 13166084 318796 2220908    0    0     0     0  230  191  9  1 90  0  0
 0  0      0 13166084 318796 2220912    0    0     0     0  126  134  4  0 96  0  0
 0  0      0 13166084 318796 2220912    0    0     0    24  174  180  6  0 91  3  0
 0  0      0 13166084 318796 2220912    0    0     0     0  211  187  8  0 92  0  0
 0  0      0 13166084 318796 2220916    0    0     0     0  184  170  7  0 93  0  0
 0  0      0 13166084 318796 2220916    0    0     0     0  148  150  5  0 95  0  0
 0  0      0 13166084 318796 2220916    0    0     0     0  149  151  4  0 96  0  0
 0  0      0 13166084 318796 2220916    0    0     0    24  211  195  8  0 90  2  0
 1  0      0 13166084 318796 2220916    0    0     0     0  184  170  8  0 92  0  0
 0  0      0 13166084 318796 2220920    0    0     0     0  151  153  5  0 95  0  0
 0  0      0 13166084 318796 2220920    0    0     0     0  262  213 12  0 88  0  0
 0  0      0 13166084 318796 2220920    0    0     0     8  198  183  8  0 92  0  0
 0  0      0 13166084 318796 2220920    0    0     0    36  204  185  7  1 90  2  0
 0  0      0 13166084 318796 2220924    0    0     0     0  171  162  7  1 92  0  0
 1  0      0 13166084 318796 2220924    0    0     0     0  233  211  9  0 91  0  0
 0  0      0 13166084 318796 2220928    0    0     0     0  210  193  8  1 91  0  0
 0  0      0 13166084 318796 2220928    0    0     0     0  205  181  8  1 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13166084 318796 2220932    0    0     0    24  139  156  4  0 95  1  0
 0  0      0 13166084 318796 2220932    0    0     0     0  229  196 10  0 90  0  0
 1  0      0 13166084 318796 2220932    0    0     0     0  190  172  6  1 93  0  0
 0  0      0 13166084 318796 2220932    0    0     0     0  142  152  5  0 95  0  0
 0  0      0 13166084 318796 2220932    0    0     0    52  191  171  7  0 93  0  0
 0  0      0 13166084 318796 2220936    0    0     0     0  175  169  7  0 93  0  0
 1  0      0 13166084 318796 2220936    0    0     0    24  280  235 10  0 87  3  0
 0  0      0 13166084 318796 2220936    0    0     0     0  271  216 10  0 90  0  0
 2  0      0 13166084 318796 2220936    0    0     0     0  212  181  7  0 93  0  0
 0  0      0 13166084 318796 2220940    0    0     0     0  160  156  6  0 94  0  0
 0  0      0 13166084 318796 2220940    0    0     0    52  214  196  7  0 93  0  0
 0  0      0 13166084 318796 2220940    0    0     0    72  168  171  6  1 91  2  0
 0  0      0 13166084 318796 2220940    0    0     0     0  168  157  6  0 94  0  0
 0  0      0 13166084 318796 2220944    0    0     0     0  152  147  5  0 95  0  0
 0  0      0 13166084 318796 2220944    0    0     0     0  134  284  3  0 97  0  0
 0  0      0 13166084 318796 2220944    0    0     0     0  244  218 10  0 90  0  0
 0  0      0 13166084 318796 2220944    0    0     0    24  216  198  8  0 90  2  0
 0  0      0 13166084 318796 2220944    0    0     0     0  128  136  4  0 96  0  0
 0  0      0 13166084 318796 2220944    0    0     0     0  189  178  7  1 92  0  0
 1  0      0 13166084 318796 2220948    0    0     0     0  150  145  6  0 94  0  0
 0  0      0 13166084 318796 2220948    0    0     0     0  183  171  6  0 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13166084 318796 2220948    0    0     0    24  255  216 10  0 89  1  0
 0  0      0 13166084 318796 2220952    0    0     0     0  165  160  7  0 93  0  0
 0  0      0 13166084 318796 2220956    0    0     0     0  211  184  8  0 92  0  0
 0  0      0 13166084 318796 2220956    0    0     0     0  221  188  9  0 91  0  0
 0  0      0 13166084 318796 2220956    0    0     0     4  209  194  8  0 92  0  0
 0  0      0 13166084 318796 2220956    0    0     0    24  192  181  7  0 90  3  0
 0  0      0 13166084 318796 2220960    0    0     0     0  212  189  8  0 92  0  0
 0  0      0 13166084 318796 2220964    0    0     0     0  179  171  6  0 94  0  0
 0  0      0 13166084 318796 2220964    0    0     0     0  307  231 14  0 86  0  0
 0  0      0 13166084 318796 2220968    0    0     0     0  207  176  8  0 92  0  0
 0  0      0 13166084 318796 2220968    0    0     0    24  135  157  5  0 92  3  0
 0  0      0 13166084 318796 2220968    0    0     0     0  224  192  8  0 92  0  0
 0  0      0 13166084 318796 2220968    0    0     0     0  188  180  6  0 94  0  0
 0  0      0 13166084 318796 2220968    0    0     0     0  190  175  6  0 94  0  0
 1  0      0 13166084 318796 2220972    0    0     0     0  200  189  8  1 91  0  0
 0  0      0 13166084 318796 2220972    0    0     0    24  158  156  5  0 94  1  0
 0  0      0 13166084 318796 2220972    0    0     0     0  162  161  5  0 95  0  0
 0  0      0 13166084 318796 2220972    0    0     0     0  145  155  5  1 94  0  0
 0  0      0 13166084 318796 2220972    0    0     0     0  252  213 10  1 89  0  0
 0  0      0 13166084 318796 2220976    0    0     0    84  248  199  9  0 91  0  0
 2  0      0 13166084 318796 2220976    0    0     0    32  223  199  9  0 88  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13166084 318796 2220976    0    0     0     0  208  177  6  0 94  0  0
 0  0      0 13166084 318796 2220984    0    0     0     0  237  193 10  1 89  0  0
 0  0      0 13166084 318796 2220984    0    0     0     0  174  161  5  0 95  0  0
 0  0      0 13166084 318796 2220984    0    0     0     8  206  186  9  0 91  0  0
 1  0      0 13166084 318796 2220984    0    0     0    32  173  179  7  0 91  2  0
 0  0      0 13166084 318796 2220984    0    0     0     0  223  195  6  0 94  0  0
 0  0      0 13166084 318796 2220988    0    0     0     0  195  175  8  1 91  0  0
 1  0      0 13166084 318796 2220988    0    0     0     0  159  152  5  0 95  0  0
 0  0      0 13166084 318796 2220988    0    0     0     0  180  181  6  0 94  0  0
 0  0      0 13166084 318796 2220988    0    0     0    24  138  160  5  0 94  1  0
 0  0      0 13166084 318796 2220988    0    0     0     0  183  161  7  0 93  0  0
 0  0      0 13166084 318796 2220992    0    0     0     0  199  176  8  1 91  0  0
 0  0      0 13166084 318796 2220992    0    0     0     0  201  181  8  0 92  0  0
 0  0      0 13166084 318796 2220992    0    0     0     0  176  167  7  1 92  0  0
 0  0      0 13166084 318796 2220992    0    0     0    44  207  181  8  0 90  2  0
 1  0      0 13166084 318796 2220996    0    0     0     0  203  196  8  0 92  0  0
 0  0      0 13166084 318796 2220996    0    0     0     0  146  154  4  1 95  0  0
 0  0      0 13166084 318796 2220996    0    0     0     0  184  167  8  0 92  0  0
 0  0      0 13166084 318796 2220996    0    0     0     0  222  190  8  1 91  0  0
 0  0      0 13166084 318796 2221000    0    0     0    24  171  175  7  0 91  2  0
 0  0      0 13166084 318796 2221000    0    0     0     0  252  210 10  1 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13166084 318796 2221000    0    0     0     0  198  180  7  0 93  0  0
 0  0      0 13166084 318796 2221000    0    0     0     0  212  185  8  0 92  0  0
 0  0      0 13166084 318796 2221004    0    0     0     0  199  183  8  0 92  0  0
 0  0      0 13166084 318796 2221004    0    0     0    24  267  221 10  0 89  1  0
 0  0      0 13166084 318796 2221008    0    0     0     0  169  159  7  0 93  0  0
 0  0      0 13166084 318796 2221008    0    0     0     0  245  206  9  0 91  0  0
 0  0      0 13166084 318796 2221008    0    0     0     0   87  119  2  0 98  0  0
 0  0      0 13166084 318796 2221012    0    0     0     0  250  218  9  2 89  0  0
 0  0      0 13166084 318796 2221012    0    0     0   104  181  183  6  0 91  3  0
 0  0      0 13166084 318796 2221012    0    0     0     0  172  161  7  0 93  0  0
 0  0      0 13166084 318796 2221016    0    0     0     0  132  143  4  0 96  0  0
 0  0      0 13166084 318796 2221020    0    0     0     0  240  200 10  1 89  0  0
 0  0      0 13166084 318796 2221020    0    0     0     0  198  183  8  0 92  0  0
 0  0      0 13166084 318796 2221020    0    0     0    40  244  201  9  0 89  2  0
 0  0      0 13166084 318796 2221020    0    0     0     0  152  151  5  0 95  0  0
 0  0      0 13166084 318796 2221020    0    0     0     0  230  205  6  0 94  0  0
 0  0      0 13166084 318796 2221024    0    0     0     0  144  142  5  0 95  0  0
 0  0      0 13166084 318796 2221024    0    0     0     0  206  173  8  0 92  0  0
 0  0      0 13166084 318796 2221024    0    0     0    24  223  213  9  0 90  1  0
 0  0      0 13166084 318796 2221024    0    0     0     0  115  127  4  0 96  0  0
 0  0      0 13166084 318796 2221024    0    0     0     0  147  154  4  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13166084 318796 2221028    0    0     0     0  199  179  7  1 92  0  0
 0  0      0 13166084 318796 2221028    0    0     0     0  152  155  5  1 94  0  0
 0  0      0 13166084 318796 2221028    0    0     0    24  174  176  7  0 91  2  0
 0  0      0 13166084 318796 2221032    0    0     0     0  250  209 10  0 90  0  0
 0  0      0 13166084 318796 2221036    0    0     0     0  160  158  5  1 94  0  0
