procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 13164984 318800 2221964    0    0     0     0    0    1 58  0 42  0  0
 2  0      0 13165016 318800 2221968    0    0     0     0  521  344 26  0 74  0  0
 1  0      0 13162348 318800 2221972    0    0     0     0  460  327 21  0 79  0  0
 0  0      0 13162348 318800 2221976    0    0     0     0  581  388 27  0 73  0  0
 0  0      0 13164644 318800 2221980    0    0     0    40  556  373 24  2 73  1  0
 0  0      0 13164644 318800 2221984    0    0     0     0  528  357 27  0 73  0  0
 0  0      0 13162348 318800 2221988    0    0     0     0  621  416 30  2 68  0  0
 0  0      0 13164644 318800 2221988    0    0     0     0  550  370 25  2 73  0  0
 2  0      0 13164644 318800 2221992    0    0     0     0  530  353 27  0 73  0  0
 1  0      0 13164644 318800 2221996    0    0     0   108  518  341 22  0 75  3  0
 0  0      0 13164644 318800 2222000    0    0     0     0  619  416 32  0 68  0  0
 2  0      0 13164644 318800 2222004    0    0     0     0  682  399 33  1 66  0  0
 0  0      0 13164644 318800 2222008    0    0     0     0  549  386 26  0 74  0  0
 0  0      0 13164644 318800 2222012    0    0     0     0  519  322 24  2 74  0  0
 0  0      0 13164644 318800 2222012    0    0     0    44  701  443 33  2 64  1  0
 0  0      0 13164644 318800 2222016    0    0     0     0  668  398 32  1 67  0  0
 1  0      0 13162224 318800 2222024    0    0     0     0  581  385 28  1 71  0  0
 0  0      0 13162224 318800 2222028    0    0     0     0  529  342 25  0 75  0  0
 1  0      0 13159184 318800 2222028    0    0     0     0  569  376 27  1 72  0  0
 0  0      0 13161604 318800 2222032    0    0     0    24  607  410 29  1 70  0  0
 1  0      0 13161604 318800 2222040    0    0     0     0  682  438 34  1 65  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13161604 318800 2222044    0    0     0     0  532  362 26  0 74  0  0
 0  0      0 13164644 318800 2222048    0    0     0     0  555  398 27  0 73  0  0
 0  0      0 13164644 318800 2222052    0    0     0     0  596  396 28  1 71  0  0
 1  0      0 13164644 318800 2222056    0    0     0    24  616  395 31  1 67  1  0
 2  0      0 13164644 318800 2222060    0    0     0     0  643  434 30  0 70  0  0
 1  0      0 13164644 318800 2222064    0    0     0     0  715  432 36  1 63  0  0
 1  0      0 13164644 318800 2222068    0    0     0     0  593  373 28  0 72  0  0
 2  0      0 13164644 318800 2222072    0    0     0     0  611  381 31  1 68  0  0
 0  0      0 13162100 318800 2222076    0    0     0    64  538  378 24  0 74  2  0
 0  0      0 13162100 318800 2222076    0    0     0     0  562  364 27  0 73  0  0
 1  0      0 13164520 318800 2222080    0    0     0     0  610  402 32  1 67  0  0
 0  0      0 13164520 318800 2222084    0    0     0     0  584  384 29  0 71  0  0
 0  0      0 13164520 318800 2222088    0    0     0     0  561  371 26  1 73  0  0
 0  0      0 13164520 318800 2222092    0    0     0   176  659  465 33  0 64  3  0
 1  0      0 13164520 318800 2222100    0    0     0     0  571  384 28  1 71  0  0
 0  0      0 13164520 318800 2222104    0    0     0     0  499  346 25  0 75  0  0
 0  0      0 13164520 318800 2222108    0    0     0     0  550  373 26  0 74  0  0
 0  0      0 13164520 318800 2222108    0    0     0     0  664  416 32  2 66  0  0
 1  0      0 13164520 318800 2222112    0    0     0    84  577  380 27  0 72  1  0
 0  0      0 13164520 318800 2222116    0    0     0     0  694  452 34  0 66  0  0
 0  0      0 13164520 318800 2222120    0    0     0     0  537  351 27  0 73  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13164520 318800 2222124    0    0     0     0  537  367 25  1 74  0  0
 0  0      0 13164520 318800 2222132    0    0     0     0  522  352 23  0 77  0  0
 1  0      0 13164520 318800 2222136    0    0     0    32  688  463 33  2 63  2  0
 0  0      0 13164520 318800 2222140    0    0     0     0  564  378 27  1 72  0  0
 0  0      0 13164520 318800 2222144    0    0     0     0  539  367 25  0 75  0  0
 1  0      0 13164520 318800 2222148    0    0     0     0  682  427 33  0 67  0  0
 0  0      0 13164520 318800 2222152    0    0     0     0  532  333 25  1 74  0  0
 2  0      0 13164396 318800 2222152    0    0     0    36  656  406 33  0 65  2  0
 0  0      0 13164396 318800 2222160    0    0     0     0  477  344 21  1 78  0  0
 1  0      0 13164396 318800 2222164    0    0     0     0  657  397 33  0 67  0  0
 0  0      0 13164396 318800 2222168    0    0     0     0  438  308 18  1 81  0  0
 0  0      0 13164396 318800 2222172    0    0     0     0  471  315 23  0 77  0  0
 0  0      0 13164396 318800 2222176    0    0     0    24  616  408 30  0 68  2  0
 0  0      0 13164396 318800 2222176    0    0     0     0  649  385 32  0 68  0  0
 2  0      0 13164396 318800 2222180    0    0     0     0  652  398 31  1 68  0  0
 0  0      0 13164396 318800 2222184    0    0     0     0  713  451 35  1 64  0  0
 0  0      0 13164396 318800 2222192    0    0     0     0  464  322 21  1 78  0  0
 0  0      0 13161976 318800 2222192    0    0     0    24  517  360 23  1 76  0  0
 0  0      0 13164396 318800 2222196    0    0     0     0  701  441 34  0 66  0  0
 0  0      0 13162100 318800 2222200    0    0     0     0  560  377 27  0 73  0  0
 1  0      0 13164396 318800 2222204    0    0     0     0  541  356 26  1 73  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 13164396 318800 2222208    0    0     0     0  576  387 28  0 72  0  0
 0  0      0 13164396 318800 2222212    0    0     0    24  606  417 28  0 72  0  0
 0  0      0 13162100 318800 2222220    0    0     0   128  660  402 31  2 67  0  0
 0  0      0 13162100 318800 2222224    0    0     0     0  590  415 28  0 72  0  0
 0  0      0 13162100 318800 2222228    0    0     0     0  587  383 28  2 70  0  0
 0  0      0 13164396 318800 2222228    0    0     0     0  606  416 28  1 71  0  0
 2  0      0 13164396 318800 2222232    0    0     0    56  663  433 31  2 65  2  0
 0  0      0 13164396 318800 2222236    0    0     0     0  610  557 28  0 72  0  0
 1  0      0 13164396 318800 2222240    0    0     0     0  578  363 30  0 70  0  0
 1  0      0 13164396 318800 2222244    0    0     0     0  613  403 30  0 70  0  0
 0  0      0 13161976 318800 2222248    0    0     0     0  537  378 23  4 73  0  0
 0  0      0 13164396 318800 2222252    0    0     0    24  573  379 28  0 70  2  0
 0  0      0 13164396 318800 2222256    0    0     0    40  703  414 34  0 66  0  0
 0  0      0 13164396 318800 2222260    0    0     0     0  552  368 28  1 71  0  0
 1  0      0 13161976 318800 2222264    0    0     0     0  657  414 32  1 67  0  0
 0  0      0 13164396 318800 2222268    0    0     0     0  452  323 20  0 80  0  0
 0  1      0 13164396 318800 2222272    0    0     0    24  618  401 29  1 69  1  0
 0  0      0 13164396 318800 2222276    0    0     0     8  664  423 31  2 66  1  0
 0  0      0 13164396 318800 2222280    0    0     0     0  510  349 25  1 74  0  0
 0  0      0 13164396 318800 2222284    0    0     0     0  507  348 24  1 75  0  0
 0  0      0 13164396 318800 2222288    0    0     0     0  617  411 29  0 71  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 13164396 318800 2222292    0    0     0     0  521  357 24  0 76  0  0
 0  0      0 13164396 318800 2222296    0    0     0    36  527  349 22  3 74  0  0
 0  0      0 13164396 318800 2222296    0    0     0     0  562  378 29  0 71  0  0
 0  0      0 13164396 318800 2222300    0    0     0     0  526  332 25  1 74  0  0
 0  0      0 13164396 318800 2222308    0    0     0     0  530  356 25  1 74  0  0
 0  0      0 13164396 318800 2222312    0    0     0     0  593  392 27  0 73  0  0
 0  0      0 13164272 318800 2222320    0    0     0    24  499  345 23  0 75  2  0
 0  0      0 13164272 318800 2222320    0    0     0     0  550  359 25  1 74  0  0
 0  0      0 13164272 318800 2222324    0    0     0     0  556  368 28  1 71  0  0
 0  0      0 13164272 318800 2222328    0    0     0     0  552  340 24  1 74  0  0
 0  0      0 13164272 318800 2222332    0    0     0     0  502  356 22  1 77  0  0
 2  0      0 13161728 318800 2222336    0    0     0    24  685  414 34  0 64  2  0
 0  0      0 13164272 318800 2222340    0    0     0   124  528  350 25  0 75  0  0
 0  0      0 13164272 318800 2222344    0    0     0     0  461  310 21  1 78  0  0
 2  0      0 13164272 318800 2222344    0    0     0     0  636  406 32  1 67  0  0
 0  0      0 13161976 318800 2222348    0    0     0     0  514  322 24  1 75  0  0
 0  0      0 13161976 318800 2222352    0    0     0    44  433  321 20  0 79  1  0
 1  0      0 13161976 318800 2222356    0    0     0     0  434  304 19  0 81  0  0
 1  0      0 13164496 318800 2222132    0    0     0     0  798  482 42  0 58  0  0
 0  0      0 13164496 318800 2222136    0    0     0     0  504  342 24  1 75  0  0
 0  0      0 13164496 318800 2222140    0    0     0     0  473  303 23  0 77  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13164496 318800 2222144    0    0     0    24  589  370 30  1 69  0  0
 0  0      0 13162200 318800 2222148    0    0     0     0  732  448 37  0 63  0  0
 0  0      0 13164504 318800 2222152    0    0     0     0  567  350 26  1 73  0  0
 0  0      0 13164512 318800 2222140    0    0     0     0  632  411 30  2 68  0  0
 0  0      0 13162092 318800 2222144    0    0     0     0  690  450 33  1 66  0  0
 1  0      0 13164512 318800 2222152    0    0     0    24  578  406 29  0 68  3  0
 0  0      0 13164512 318800 2222156    0    0     0    36  677  413 33  1 66  0  0
 0  0      0 13164512 318800 2222160    0    0     0     0  571  369 27  0 73  0  0
 1  0      0 13164512 318800 2222164    0    0     0     0  670  425 32  1 67  0  0
 0  0      0 13164512 318800 2222168    0    0     0     0  566  367 27  2 71  0  0
 0  0      0 13164512 318800 2222172    0    0     0    24  482  339 23  0 75  2  0
 0  0      0 13164512 318800 2222172    0    0     0     0  566  352 28  0 72  0  0
 0  0      0 13164512 318800 2222176    0    0     0     0  677  423 33  1 66  0  0
 0  0      0 13164512 318800 2222180    0    0     0     0  497  346 23  0 77  0  0
 2  0      0 13164512 318800 2222184    0    0     0     0  594  401 28  1 71  0  0
 0  0      0 13164512 318800 2222188    0    0     0    24  549  376 26  0 73  1  0
 1  0      0 13164512 318800 2222192    0    0     0     0  579  389 27  2 71  0  0
 0  0      0 13164512 318800 2222196    0    0     0     0  507  338 25  0 75  0  0
 0  0      0 13164512 318800 2222196    0    0     0     0  528  345 26  0 74  0  0
 3  0      0 13164512 318800 2222204    0    0     0     0  729  446 36  0 64  0  0
 0  0      0 13164512 318800 2222208    0    0     0    24  566  364 27  1 71  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 13164512 318800 2222212    0    0     0   120  525  377 25  0 75  0  0
 0  0      0 13164512 318800 2222216    0    0     0     0  630  403 30  0 70  0  0
 0  0      0 13161968 318800 2222220    0    0     0     0  799  463 41  0 59  0  0
 0  0      0 13161968 318800 2222224    0    0     0     0  606  381 29  0 71  0  0
 0  0      0 13164340 318800 2222232    0    0     0    48  578  401 26  0 73  1  0
 0  0      0 13164388 318800 2222236    0    0     0     4  622  408 30  1 69  0  0
 1  0      0 13164388 318800 2222240    0    0     0     0  458  313 23  0 77  0  0
 0  0      0 13164388 318800 2222248    0    0     0     0  582  370 27  0 73  0  0
 2  0      0 13164388 318800 2222248    0    0     0     0  527  360 24  2 74  0  0
 0  0      0 13164388 318800 2222252    0    0     0    24  764  501 38  1 60  1  0
 0  0      0 13164388 318800 2222260    0    0     0     0  561  381 27  1 72  0  0
 0  0      0 13164388 318800 2222264    0    0     0     0  525  332 27  0 73  0  0
 0  0      0 13164388 318800 2222264    0    0     0     0  706  437 35  0 65  0  0
 2  0      0 13164388 318800 2222268    0    0     0     0  659  406 32  2 66  0  0
 0  0      0 13164388 318800 2222272    0    0     0    24  393  290 18  0 80  2  0
 0  0      0 13164388 318800 2222276    0    0     0     0  529  339 26  0 74  0  0
 0  0      0 13164388 318800 2222280    0    0     0     8  672  398 34  1 65  0  0
 0  0      0 13164388 318800 2222284    0    0     0     0  679  421 33  1 66  0  0
 1  0      0 13164388 318800 2222288    0    0     0     0  633  427 31  0 69  0  0
 0  0      0 13164388 318800 2222292    0    0     0    36  552  389 25  1 72  2  0
 0  0      0 13164388 318800 2222296    0    0     0     0  433  319 19  1 80  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 13164388 318800 2222296    0    0     0    28  714  457 32  2 66  0  0
 0  0      0 13164388 318800 2222300    0    0     0     0  546  357 25  1 74  0  0
 1  0      0 13164388 318800 2222304    0    0     0     0  629  408 29  1 70  0  0
 0  0      0 13164388 318800 2222308    0    0     0    24  659  434 31  1 67  1  0
 1  0      0 13164388 318800 2222312    0    0     0     0  561  355 27  0 73  0  0
 0  0      0 13164388 318800 2222316    0    0     0     0  580  392 27  0 73  0  0
 0  0      0 13164388 318800 2222320    0    0     0     0  661  397 32  0 68  0  0
 0  0      0 13164388 318800 2222324    0    0     0     0  609  393 28  1 71  0  0
 0  0      0 13164388 318800 2222332    0    0     0    24  546  382 25  1 73  1  0
 0  0      0 13164388 318800 2222332    0    0     0     0  434  301 18  1 81  0  0
 0  0      0 13161844 318800 2222336    0    0     0   120  597  373 29  0 71  0  0
 1  0      0 13164204 318800 2222340    0    0     0     0  507  357 22  1 77  0  0
 1  0      0 13161968 318800 2222344    0    0     0     0  607  385 30  1 69  0  0
 0  0      0 13164260 318800 2222348    0    0     0    48  646  418 31  1 66  2  0
 2  0      0 13164264 318800 2222352    0    0     0     0  494  342 22  2 76  0  0
 0  0      0 13164264 318800 2222352    0    0     0     8  558  368 27  1 72  0  0
 0  0      0 13164264 318800 2222356    0    0     0     0  651  405 32  0 68  0  0
 2  0      0 13164264 318800 2222360    0    0     0     0  723  437 35  1 64  0  0
 0  0      0 13164264 318800 2222364    0    0     0    32  569  398 27  0 72  1  0
 0  0      0 13164264 318800 2222368    0    0     0     0  557  383 28  1 71  0  0
