procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12899920 321880 2482800    0    0     0     1    2    0 57  0 43  0  0
 1  0      0 12894212 321880 2482816    0    0     0     0  108  116 13  0 87  0  0
 0  0      0 12881928 321880 2483180    0    0     0     0  173  159 43  0 57  0  0
 0  0      0 12876976 321880 2483984    0    0     0     0  103  116 14  1 85  0  0
 0  0      0 12876852 321880 2483984    0    0     0    40   93  132 11  0 86  3  0
 0  0      0 12877348 321880 2483984    0    0     0     0  101  104 15  1 84  0  0
 0  0      0 12877844 321880 2483984    0    0     0     0  154  116 30  0 70  0  0
 0  0      0 12876292 321880 2483984    0    0     0     0  113  106 16  0 84  0  0
 0  0      0 12876748 321880 2483668    0    0     0     0  163  146 35  1 64  0  0
 0  0      0 12877244 321880 2483668    0    0     0    24  103  128 11  0 87  2  0
 0  0      0 12877740 321880 2483668    0    0     0     0  162  129 35  0 65  0  0
 0  0      0 12877740 321880 2483672    0    0     0    96  104  107 10  0 90  0  0
 2  0      0 12877740 321880 2483672    0    0     0     0  174  126 42  0 58  0  0
 0  0      0 12877740 321880 2483672    0    0     0     0  110  112 14  0 86  0  0
 0  0      0 12877740 321880 2483672    0    0     0    40   96  131 11  0 86  3  0
 0  0      0 12880832 321880 2483496    0    0     0     0  146  124 25  0 75  0  0
 1  0      0 12880832 321880 2483496    0    0     0     0   76  108  5  1 94  0  0
 0  0      0 12880584 321880 2483496    0    0     0     0  123  111 20  0 80  0  0
 0  0      0 12878536 321880 2483496    0    0     0     0  131  109 26  0 74  0  0
 1  0      0 12878536 321880 2483496    0    0     0    24  122  124 19  0 80  1  0
 1  0      0 12878536 321880 2483496    0    0     0     0  132  259 22  0 78  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 12878412 321880 2483496    0    0     0     0  138  103 26  0 74  0  0
 0  0      0 12878412 321880 2483500    0    0     0     8   93  116 13  0 87  0  0
 0  0      0 12880832 321880 2483500    0    0     0     0  164  137 31  1 68  0  0
 0  0      0 12880832 321880 2483500    0    0     0     0  118  117 20  0 80  0  0
 0  0      0 12880460 321880 2483500    0    0     0    36  151  127 25  0 73  2  0
 1  0      0 12880460 321880 2483500    0    0     0     0   87  101 14  0 86  0  0
 0  0      0 12880460 321880 2483500    0    0     0     4  127  113 20  1 79  0  0
 0  0      0 12880460 321880 2483500    0    0     0     0   87  100 16  0 84  0  0
 0  0      0 12880460 321880 2483500    0    0     0     0  105  100 14  0 86  0  0
 2  0      0 12878412 321880 2483500    0    0     0    24  102  120 16  0 81  3  0
 1  0      0 12878412 321880 2483500    0    0     0     0  166  117 39  0 61  0  0
 0  0      0 12880832 321880 2483504    0    0     0    12   89  118 10  0 90  0  0
 0  0      0 12880832 321880 2483504    0    0     0     0  133  115 25  0 75  0  0
 0  0      0 12880832 321880 2483504    0    0     0     0  129  117 24  0 76  0  0
 1  0      0 12880832 321880 2483508    0    0     0    44  166  131 32  0 66  2  0
 0  0      0 12880460 321880 2483508    0    0     0     0  143  115 30  0 70  0  0
 0  0      0 12880460 321880 2483508    0    0     0     0  149  102 30  0 70  0  0
 0  0      0 12880460 321880 2483508    0    0     0     0   39   91  0  1 99  0  0
 0  0      0 12880460 321880 2483508    0    0     0     0  121  113 21  0 79  0  0
 1  1      0 12880460 321880 2483508    0    0     0    24  123  135 20  0 80  0  0
 0  0      0 12878412 321880 2483508    0    0     0     0  217  144 46  0 54  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12878412 321880 2483512    0    0     0    16   72   93 10  0 90  0  0
 0  0      0 12878412 321880 2483516    0    0     0     0   85   97 10  0 90  0  0
 0  0      0 12878288 321880 2483516    0    0     0     0  121  123 20  0 80  0  0
 0  0      0 12878288 321880 2483516    0    0     0     0   86  100 10  0 90  0  0
 1  0      0 12878288 321880 2483516    0    0     0    32  120  137 15  0 83  2  0
 1  0      0 12880708 321880 2483520    0    0     0    36  172  116 35  1 64  0  0
 0  0      0 12880708 321880 2483520    0    0     0     0  149  116 31  0 69  0  0
 0  0      0 12880708 321880 2483520    0    0     0     0  108  106 15  0 85  0  0
 0  0      0 12880708 321880 2483520    0    0     0     0  115  111 20  0 80  0  0
 0  0      0 12880460 321880 2483520    0    0     0    24  211  158 46  0 51  3  0
 0  0      0 12880460 321880 2483524    0    0     0     8  101  109 15  1 84  0  0
 0  0      0 12880460 321880 2483524    0    0     0     0  106  101 15  0 85  0  0
 0  0      0 12878288 321880 2483524    0    0     0     0  168  136 36  0 64  0  0
 0  0      0 12878288 321880 2483524    0    0     0     0  140  103 24  0 76  0  0
 0  0      0 12878288 321880 2483524    0    0     0    36  134  127 26  0 72  2  0
 0  0      0 12878288 321880 2483524    0    0     0     8  120  106 20  0 80  0  0
 0  0      0 12878288 321880 2483524    0    0     0     0   94   96 14  0 86  0  0
 0  0      0 12878288 321880 2483524    0    0     0     0  124  118 21  0 79  0  0
 1  0      0 12878288 321880 2483524    0    0     0     0   83  101 11  0 89  0  0
 1  0      0 12878288 321880 2483524    0    0     0    36  143  124 24  0 75  1  0
 0  0      0 12878288 321880 2483528    0    0     0     0  151  113 30  1 69  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12878288 321880 2483528    0    0     0     8   62  102  1  0 99  0  0
 0  0      0 12880708 321880 2483528    0    0     0     0   82  132 10  0 90  0  0
 1  0      0 12883764 321880 2483428    0    0     0     0  167  141 32  0 68  0  0
 0  0      0 12883764 321880 2483428    0    0     0    32  124  112 24  0 74  2  0
 1  0      0 12883516 321880 2483428    0    0     0     0  132  108 24  0 76  0  0
 1  0      0 12883516 321880 2483428    0    0     0     0  101  106 17  0 83  0  0
 0  0      0 12883516 321880 2483428    0    0     0     0  134  103 25  0 75  0  0
 1  0      0 12883516 321880 2483428    0    0     0     0  114  100 22  0 78  0  0
 0  0      0 12880848 321880 2483428    0    0     0     0  149  121 29  0 71  0  0
 0  0      0 12880848 321880 2483428    0    0     0    24   97  114 15  0 84  1  0
 0  0      0 12880848 321880 2483432    0    0     0    16   74   99  5  0 95  0  0
 0  0      0 12880848 321880 2483432    0    0     0     0   96  117 10  0 90  0  0
 1  0      0 12880848 321880 2483432    0    0     0     0  164  116 31  1 68  0  0
 0  0      0 12880848 321880 2483432    0    0     0     0  133  124 24  0 76  0  0
 0  0      0 12880848 321880 2483432    0    0     0    32  120  109 20  0 78  2  0
