procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 12887156 321880 2483320    0    0     0     1    2    0 57  0 43  0  0
 2  0      0 12884612 321880 2483324    0    0     0     0  218  170 42  1 57  0  0
 2  0      0 12878576 321880 2483392    0    0     0    60  103  131 15  1 84  0  0
 4  0      0 12866424 321880 2483784    0    0     0     8  176  149 40  0 60  0  0
 0  0      0 12861348 321880 2484584    0    0     0     0  168  151 36  1 63  0  0
 0  0      0 12861332 321880 2484612    0    0     0     0  192  139 45  0 55  0  0
 0  0      0 12861692 321880 2484612    0    0     0     0  225  151 50  1 49  0  0
 1  0      0 12862200 321880 2484616    0    0     0    36  138  125 25  0 75  0  0
 0  0      0 12860420 321880 2484472    0    0     0    84  207  151 40  1 59  0  0
 0  0      0 12861100 321880 2484356    0    0     0     0  125  115 25  1 74  0  0
 2  0      0 12859172 321880 2484316    0    0     0     0  216  153 47  1 52  0  0
 0  0      0 12862240 321880 2484244    0    0     0     0  263  171 64  1 35  0  0
 0  0      0 12862240 321880 2484184    0    0     0     0  138  126 20  0 80  0  0
 2  0      0 12865288 321880 2484116    0    0     0    52  171  157 39  1 57  3  0
 0  0      0 12865288 321880 2484068    0    0     0     0  198  134 41  0 59  0  0
 0  0      0 12865040 321880 2484064    0    0     0     0  168  134 35  0 65  0  0
 2  0      0 12865272 321880 2484064    0    0     0     0  155  132 26  0 74  0  0
 0  0      0 12865288 321880 2484064    0    0     0     0  149  120 31  0 69  0  0
 1  0      0 12865288 321880 2484068    0    0     0    32  134  119 23  1 74  2  0
 1  0      0 12865288 321880 2484068    0    0     0     0  154  121 31  0 69  0  0
 2  0      0 12865288 321880 2484068    0    0     0     0  164  126 26  0 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
