procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
64  0      0 15208812  24940 601248    0    0   181    53  165  158 26  3 68  3  0
90  0      0 15211872  24940 601052    0    0     0     0  413  332 100  0  0  0  0
90  0      0 15211872  24940 601052    0    0     0     0  280  302 100  0  0  0  0
90  0      0 15211880  24940 601052    0    0     0    40  278  296 100  0  0  0  0
16  0      0 15211880  24948 601064    0    0     0    36  508  387 99  1  0  0  0
45  0      0 15211880  24948 601068    0    0     0     0  332  290 100  0  0  0  0
64  0      0 15211880  24948 601068    0    0     0     0  351  295 100  0  0  0  0
49  0      0 15211880  24948 601072    0    0     0     0  364  315 100  0  0  0  0
47  0      0 15211880  24948 601076    0    0     0     0  355  303 100  0  0  0  0
57  0      0 15214804  24956 601080    0    0     0    16  414  385 99  1  0  0  0
58  0      0 15217728  24956 601080    0    0     0     0  368  343 100  0  0  0  0
65  0      0 15220904  24956 600952    0    0     0     0  337  314 100  0  0  0  0
49  0      0 15220904  24956 600956    0    0     0     0  387  329 100  0  0  0  0
39  0      0 15223952  24956 600880    0    0     0     0  375  325 100  0  0  0  0
52  0      0 15223952  24964 600876    0    0     0    24  377  320 100  0  0  0  0
51  0      0 15223952  24964 600884    0    0     0     0  363  323 100  0  0  0  0
53  0      0 15223696  24964 600888    0    0     0     0  375  321 100  0  0  0  0
53  0      0 15221524  24964 600892    0    0     0     0  382  326 100  0  0  0  0
64  0      0 15221524  24964 600892    0    0     0     0  363  322 100  0  0  0  0
62  0      0 15224076  24964 600888    0    0     0    96  356  316 100  0  0  0  0
47  0      0 15223952  24972 600892    0    0     0    24  379  369 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
49  0      0 15223952  24972 600896    0    0     0     0  360  311 100  0  0  0  0
49  0      0 15223952  24972 600900    0    0     0     0  372  309 100  0  0  0  0
45  0      0 15223952  24972 600904    0    0     0     0  381  332 99  1  0  0  0
45  0      0 15223572  24972 600904    0    0     0     4  368  323 100  0  0  0  0
45  0      0 15223952  24980 600900    0    0     0    20  384  342 99  1  0  0  0
48  0      0 15223952  24980 600904    0    0     0     0  374  324 100  0  0  0  0
41  0      0 15227088  24980 600816    0    0     0     0  352  319 100  0  0  0  0
43  0      0 15227120  24980 600788    0    0     0     0  412  338 100  0  0  0  0
54  0      0 15227120  24980 600788    0    0     0     8  353  307 100  0  0  0  0
53  0      0 15227120  24988 600792    0    0     0    28  363  335 100  0  0  0  0
51  0      0 15230044  24988 600792    0    0     0     0  379  318 100  0  0  0  0
53  0      0 15230044  24988 600796    0    0     0     0  382  333 100  0  0  0  0
51  0      0 15233092  24988 600796    0    0     0     0  337  323 100  0  0  0  0
45  0      0 15232712  24988 600804    0    0     0    40  416  336 100  0  0  0  0
48  0      0 15230540  24996 600808    0    0     0    24  352  318 100  0  0  0  0
49  0      0 15229912  24996 600812    0    0     0     0  360  319 99  1  0  0  0
53  0      0 15221644  24996 600816    0    0     0     0  393  331 100  0  0  0  0
52  0      0 15219532  24996 600920    0    0     0     0  349  316 100  0  0  0  0
55  0      0 15217492  24996 600924    0    0     0     0  366  323 100  0  0  0  0
50  0      0 15215452  25004 600928    0    0     0    16  381  350 99  1  0  0  0
47  0      0 15218076  25004 600860    0    0     0     0  371  329 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
56  0      0 15221124  25004 600864    0    0     0     0  387  319 100  0  0  0  0
58  0      0 15221124  25004 600864    0    0     0     0  342  309 100  0  0  0  0
60  0      0 15221124  25004 600872    0    0     0     0  360  312 100  0  0  0  0
51  0      0 15221124  25012 600876    0    0     0    16  400  339 100  0  0  0  0
50  0      0 15218572  25012 600880    0    0     0     0  349  310 99  1  0  0  0
52  0      0 15217680  25012 600888    0    0     0     0  349  311 100  0  0  0  0
50  0      0 15217556  25012 600892    0    0     0     0  363  306 100  0  0  0  0
60  0      0 15215012  25012 600896    0    0     0   100  375  315 100  0  0  0  0
59  0      0 15215020  25020 600896    0    0     0    24  357  333 100  0  0  0  0
62  0      0 15217944  25020 600900    0    0     0     0  349  305 99  1  0  0  0
49  0      0 15217944  25020 600904    0    0     0     0  370  313 100  0  0  0  0
57  0      0 15215516  25020 600908    0    0     0     0  365  312 100  0  0  0  0
63  0      0 15215392  25020 600912    0    0     0     0  386  310 100  0  0  0  0
68  0      0 15215392  25028 600908    0    0     0    16  324  312 100  0  0  0  0
64  0      0 15217944  25028 600916    0    0     0     0  363  317 100  0  0  0  0
49  0      0 15217944  25028 600920    0    0     0     0  380  324 100  0  0  0  0
54  0      0 15217564  25028 600924    0    0     0     0  358  310 100  0  0  0  0
51  0      0 15217564  25028 600928    0    0     0     0  354  298 100  0  0  0  0
48  0      0 15217564  25036 600924    0    0     0    16  357  324 100  0  0  0  0
47  0      0 15217564  25036 600932    0    0     0     0  386  321 99  1  0  0  0
54  0      0 15217820  25036 600936    0    0     0     0  370  320 99  1  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
52  0      0 15220980  25036 600828    0    0     0     0  353  304 100  0  0  0  0
52  0      0 15220980  25036 600832    0    0     0     0  389  333 100  0  0  0  0
51  1      0 15220856  25044 600828    0    0     0    32  369  322 99  1  0  0  0
52  0      0 15220856  25044 600840    0    0     0     0  352  323 99  1  0  0  0
47  0      0 15220856  25044 600844    0    0     0     0  380  313 100  0  0  0  0
50  0      0 15220856  25044 600848    0    0     0     0  360  306 100  0  0  0  0
52  0      0 15220856  25044 600852    0    0     0     0  362  299 100  0  0  0  0
56  0      0 15220856  25044 600852    0    0     0    16  390  327 100  0  0  0  0
64  0      0 15220476  25052 600856    0    0     0    16  356  313 99  1  0  0  0
53  0      0 15218304  25052 600860    0    0     0     0  354  318 100  0  0  0  0
40  0      0 15217744  25052 600920    0    0     0     0  377  320 100  0  0  0  0
38  0      0 15215324  25052 600924    0    0     0     0  400  329 100  0  0  0  0
38  0      0 15217876  25052 600928    0    0     0     0  350  303 100  0  0  0  0
44  0      0 15220924  25060 600904    0    0     0    16  386  352 100  0  0  0  0
53  0      0 15220924  25060 600908    0    0     0     0  374  319 99  1  0  0  0
