procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
65  0      0 12783796 322088 2417680    0    0     0     1    0    1 57  0 43  0  0
65  0      0 12781188 322088 2417684    0    0     0     0  440  340 100  0  0  0  0
65  0      0 12775232 322088 2417684    0    0     0     0  292  335 100  0  0  0  0
28  0      0 12763536 322088 2417692    0    0     0     0  469  363 100  0  0  0  0
49  0      0 12739848 322088 2417868    0    0     0    96  346  347 99  1  0  0  0
69  0      0 12691248 322088 2419304    0    0     0     0  315  345 100  0  0  0  0
66  0      0 12659984 322088 2422384    0    0     0     0  383  418 98  2  0  0  0
67  0      0 12659612 322088 2422388    0    0     0     0  363  331 99  1  0  0  0
73  0      0 12657936 322088 2422388    0    0     0     0  360  348 99  1  0  0  0
64  0      0 12655020 322088 2422392    0    0     0    24  384  369 99  1  0  0  0
59  0      0 12655436 322088 2422228    0    0     0     0  398  351 100  0  0  0  0
52  0      0 12656056 322088 2422160    0    0     0     0  357  349 100  0  0  0  0
56  0      0 12654008 322088 2422160    0    0     0     0  401  351 99  1  0  0  0
54  0      0 12654388 322088 2422156    0    0     0     0  396  356 99  1  0  0  0
59  0      0 12652688 322088 2421932    0    0     0    24  433  381 100  0  0  0  0
58  0      0 12648840 322088 2421848    0    0     0     0  401  363 100  0  0  0  0
44  0      0 12648840 322088 2421756    0    0     0     0  426  358 99  1  0  0  0
54  0      0 12647164 322088 2421760    0    0     0     0  394  334 100  0  0  0  0
51  0      0 12643028 322088 2421556    0    0     0     0  403  357 100  0  0  0  0
46  0      0 12638560 322088 2421560    0    0     0    24  440  380 100  0  0  0  0
40  0      0 12638560 322088 2421568    0    0     0     0  403  345 99  1  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
46  0      0 12636960 322088 2421280    0    0     0     0  410  348 100  0  0  0  0
55  0      0 12640000 322088 2421220    0    0     0     0  411  363 99  1  0  0  0
44  0      0 12642792 322088 2421224    0    0     0     0  418  383 100  0  0  0  0
48  0      0 12645708 322088 2421228    0    0     0   120  433  369 100  0  0  0  0
62  0      0 12648916 322088 2420992    0    0     0     0  416  352 100  0  0  0  0
52  0      0 12651956 322088 2420996    0    0     0     0  389  367 99  1  0  0  0
35  0      0 12654928 322088 2420928    0    0     0     0  453  375 100  0  0  0  0
48  0      0 12657976 322088 2420892    0    0     0     0  394  332 100  0  0  0  0
43  0      0 12661080 322088 2420832    0    0     0    64  419  374 100  0  0  0  0
45  0      0 12664004 322088 2420824    0    0     0     0  417  365 99  1  0  0  0
56  0      0 12666920 322088 2420820    0    0     0     0  418  362 100  0  0  0  0
53  0      0 12670084 322088 2420772    0    0     0     0  422  387 98  2  0  0  0
42  0      0 12673192 322088 2420584    0    0     0     0  425  366 100  0  0  0  0
52  0      0 12676108 322088 2420588    0    0     0    48  450  370 100  0  0  0  0
40  0      0 12679164 322088 2420560    0    0     0    32  399  377 99  1  0  0  0
30  0      0 12679164 322088 2420564    0    0     0     0  426  365 100  0  0  0  0
30  0      0 12682300 322088 2420424    0    0     0     0  402  355 100  0  0  0  0
43  0      0 12682300 322088 2420428    0    0     0     0  448  358 100  0  0  0  0
61  0      0 12682300 322088 2420432    0    0     0     0  389  349 100  0  0  0  0
54  0      0 12682300 322088 2420436    0    0     0    24  421  372 100  0  0  0  0
48  0      0 12682300 322088 2420440    0    0     0     0  447  382 100  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
