procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 12909984 322088 2405916    0    0     0     1    0    1 57  0 43  0  0
 1  0      0 12912840 322088 2405820    0    0     0     0  354  249 87  0 13  0  0
 1  0      0 12915880 322088 2405816    0    0     0     0  144  108 26  0 74  0  0
 0  0      0 12918928 322088 2405812    0    0     0     0  186  152 43  1 56  0  0
 3  0      0 12921932 322088 2405716    0    0     0    44  217  158 46  1 53  0  0
 1  0      0 12921932 322088 2405716    0    0     0     0  299  196 78  0 22  0  0
 2  0      0 12921932 322088 2405720    0    0     0     0  251  154 58  0 42  0  0
 0  0      0 12924972 322088 2405684    0    0     0     0  189  130 41  0 59  0  0
 1  0      0 12924972 322088 2405688    0    0     0     0  248  137 55  0 45  0  0
 0  0      0 12924972 322088 2405688    0    0     0    96  191  142 35  0 63  2  0
 0  0      0 12928020 322088 2405680    0    0     0     0  255  184 51  0 49  0  0
 1  0      0 12928020 322088 2405680    0    0     0     0  230  161 51  0 49  0  0
 4  0      0 12928020 322088 2405680    0    0     0     0  187  131 40  0 60  0  0
 0  0      0 12928020 322088 2405684    0    0     0     0  200  135 46  0 54  0  0
 0  0      0 12930944 322088 2405640    0    0     0    24  267  187 61  0 38  1  0
 0  0      0 12930696 322088 2405640    0    0     0     0  173  149 35  0 65  0  0
 1  0      0 12927532 322088 2405644    0    0     0     0  282  326 49  1 49  0  0
 0  0      0 12927532 322088 2405644    0    0     0     0  217  128 51  1 48  0  0
 1  0      0 12927952 322088 2405600    0    0     0     0  236  165 50  0 50  0  0
 1  0      0 12931008 322088 2405580    0    0     0    44  201  171 43  0 54  3  0
 5  0      0 12931008 322088 2405580    0    0     0     0  216  156 48  0 52  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12931008 322088 2405584    0    0     0     0  254  190 61  0 39  0  0
 2  0      0 12931008 322088 2405584    0    0     0     0  144  120 28  0 72  0  0
 2  0      0 12931008 322088 2405584    0    0     0     0  268  143 67  0 33  0  0
 0  0      0 12931008 322088 2405588    0    0     0   132  264  175 56  0 41  3  0
 0  0      0 12931008 322088 2405588    0    0     0     0  282  189 71  0 29  0  0
 1  0      0 12928588 322088 2405596    0    0     0     0  220  182 49  0 51  0  0
 0  0      0 12928588 322088 2405596    0    0     0     0  192  122 42  0 58  0  0
 0  0      0 12928092 322088 2405600    0    0     0     0  233  170 51  0 49  0  0
 2  1      0 12927968 322088 2405600    0    0     0    72  224  161 48  0 50  3  0
 0  0      0 12927472 322088 2405600    0    0     0     0  226  742 37  2 61  0  0
 0  0      0 12925424 322088 2405604    0    0     0     0  229  146 54  1 45  0  0
 0  0      0 12925424 322088 2405604    0    0     0     0  196  128 41  0 59  0  0
 4  0      0 12927984 322088 2405580    0    0     0     0  232  164 61  0 39  0  0
 0  0      0 12927984 322088 2405584    0    0     0     0  212  145 46  0 54  0  0
 3  0      0 12931056 322088 2405544    0    0     0   100  250  200 60  0 39  1  0
 0  0      0 12931056 322088 2405544    0    0     0     0  125  122 17  0 83  0  0
 0  0      0 12930684 322088 2405548    0    0     0     0  201  139 45  1 54  0  0
