procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
246  0      0 13091020 281108 1712440    0    0     0     0    0    0 58  0 42  0  0
248  0      0 13086708 281108 1712524    0    0     0     0 2143 1051 98  2  0  0  0
106  1      0 13087352 281108 1712532    0    0     0   112 1955  639 98  2  0  0  0
245  0      0 13087384 281108 1712548    0    0     0     0 2257  567 100  0  0  0  0
247  0      0 13087384 281108 1712564    0    0     0   576 2257  562 99  1  0  0  0
247  0      0 13087320 281108 1712580    0    0     0     0 2274  575 99  1  0  0  0
249  0      0 13087480 281108 1712596    0    0     0     0 2213  568 99  1  0  0  0
247  1      0 13087224 281108 1712608    0    0     0    32 2245  575 99  1  0  0  0
216  0      0 13087288 281108 1712612    0    0     0     0 2303  580 99  1  0  0  0
249  0      0 13087256 281108 1712632    0    0     0     4 2326  574 100  0  0  0  0
250  0      0 13087072 281108 1712648    0    0     0     0 2560 1129 98  2  0  0  0
120  0      0 13086880 281108 1712656    0    0     0     0 2860  658 97  3  0  0  0
