procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
129  0      0 13093128 281108 1712692    0    0     0     0    0    0 58  0 42  0  0
220  0      0 13090336 281108 1712744    0    0     0     0 1789  488 99  1  0  0  0
220  0      0 13087792 281108 1712764    0    0     0     0 2438  576 99  1  0  0  0
220  0      0 13087504 281108 1712772    0    0     0    56 2220  551 99  1  0  0  0
220  0      0 13087572 281108 1712784    0    0     0     0 2101  478 100  0  0  0  0
221  0      0 13087636 281108 1712808    0    0     0     0 2578  587 99  1  0  0  0
220  0      0 13087444 281108 1712812    0    0     0     0 2298  584 100  0  0  0  0
219  0      0 13087348 281108 1712828    0    0     0     0 2922  610 98  2  0  0  0
219  0      0 13087384 281108 1712848    0    0     0    24 2686  590 99  1  0  0  0
219  0      0 13087448 281108 1712872    0    0     0     0 2911  585 99  1  0  0  0
219  0      0 13087352 281108 1712892    0    0     0     0 3053  615 99  1  0  0  0
219  0      0 13087320 281108 1712912    0    0     0     0 3019  612 100  0  0  0  0
219  0      0 13087096 281108 1712924    0    0     0     0 3090  616 99  1  0  0  0
