procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 15063640 148052 888504    0    0    64    52  211  175 38  1 60  1  0
 1  0      0 15060532 148060 888512    0    0     0   108  457  294 76  0 22  2  0
 1  0      0 15060532 148060 888516    0    0     0     0  413  193 71  0 29  0  0
 1  0      0 15060532 148060 888516    0    0     0   148  499  328 71  0 29  0  0
 1  0      0 15060532 148060 888516    0    0     0     0  413  196 71  0 29  0  0
 1  0      0 15060532 148060 888520    0    0     0     0  430  206 71  0 29  0  0
 1  0      0 15060532 148068 888520    0    0     0    24  439  235 71  1 26  2  0
 1  0      0 15060532 148068 888520    0    0     0     0  412  183 71  0 29  0  0
 1  0      0 15060532 148068 888524    0    0     0     0  414  201 72  0 28  0  0
 1  0      0 15060532 148068 888524    0    0     0     0  425  208 70  1 29  0  0
 1  0      0 15060532 148068 888524    0    0     0     0  409  182 72  0 28  0  0
 1  0      0 15063392 148076 888524    0    0     0    48  439  503 73  4 21  2  0
 1  0      0 15063392 148076 888524    0    0     0     0  404  186 70  1 29  0  0
 1  0      0 15063392 148076 888524    0    0     0     4  506  749 81  0 19  0  0
 1  0      0 15063392 148076 888528    0    0     0     0  412  194 71  0 29  0  0
 3  0      0 15063196 148076 888528    0    0     0     0  436  383 73  1 26  0  0
 1  0      0 15063392 148084 888532    0    0     0    88  465  642 79  1 18  2  0
 1  0      0 15063392 148084 888532    0    0     0     0  413  186 71  0 29  0  0
 1  0      0 15063392 148084 888532    0    0     0     0  401  181 71  0 29  0  0
 1  0      0 15063392 148084 888536    0    0     0     0  409  190 72  0 28  0  0
 1  0      0 15063392 148084 888536    0    0     0     0  400  180 71  0 29  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 15063392 148092 888536    0    0     0    16  414  203 72  0 27  1  0
 1  0      0 15063392 148092 888540    0    0     0     0  402  183 70  1 29  0  0
 1  0      0 15063392 148092 888540    0    0     0     4  415  192 71  0 29  0  0
 1  0      0 15063392 148092 888540    0    0     0     0  405  194 71  0 29  0  0
 1  0      0 15063392 148092 888544    0    0     0     0  406  183 71  0 29  0  0
 1  0      0 15063392 148100 888544    0    0     0    16  394  190 71  0 26  3  0
 1  0      0 15063392 148100 888544    0    0     0     0  407  174 71  0 29  0  0
 1  0      0 15063392 148100 888548    0    0     0     8  395  187 70  1 29  0  0
 1  0      0 15063392 148100 888548    0    0     0     0  399  182 71  0 29  0  0
 1  0      0 15063392 148100 888548    0    0     0     0  399  185 71  0 29  0  0
 1  0      0 15063392 148108 888552    0    0     0    28  399  190 71  0 27  2  0
 1  0      0 15063392 148108 888552    0    0     0     0  400  176 71  0 29  0  0
 1  0      0 15063392 148108 888552    0    0     0    48  397  185 72  0 28  0  0
 1  0      0 15063392 148108 888556    0    0     0     0  402  181 71  0 29  0  0
 1  0      0 15063392 148108 888556    0    0     0     0  404  188 71  0 29  0  0
 1  0      0 15063392 148116 888556    0    0     0    32  399  194 71  0 27  2  0
 1  0      0 15063392 148116 888560    0    0     0     0  399  176 72  0 28  0  0
 1  0      0 15063392 148116 888560    0    0     0    88  427  184 71  0 29  0  0
 1  0      0 15063392 148116 888560    0    0     0     0  408  183 70  1 29  0  0
 1  0      0 15063392 148116 888564    0    0     0     0  398  181 72  0 28  0  0
 1  0      0 15063392 148124 888564    0    0     0    16  410  197 71  0 27  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 15063392 148124 888564    0    0     0     0  397  176 70  1 29  0  0
 1  0      0 15063392 148124 888568    0    0     0     0  402  184 71  0 29  0  0
 1  0      0 15063392 148124 888572    0    0     0     0  411  193 71  1 28  0  0
 1  0      0 15063392 148124 888572    0    0     0     0  412  184 71  0 29  0  0
 1  0      0 15063392 148132 888576    0    0     0    16  408  193 71  1 27  1  0
 1  0      0 15063392 148132 888576    0    0     0     0  415  180 70  1 29  0  0
