procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 14447380 146880 909156    0    0    70    56  209  178 38  1 60  1  0
 1  0      0 14450048 146888 909160    0    0     0    52  147  380 14  4 81  1  0
 1  0      0 14453376 146888 908880    0    0     0     0  107   89 10  0 90  0  0
 1  0      0 14456352 146888 908852    0    0     0     0   87   84 10  0 90  0  0
 1  0      0 14459356 146888 908852    0    0     0     0  133  341 15  4 81  0  0
 1  0      0 14462332 146888 908836    0    0     0     0   93   86 10  0 90  0  0
 1  0      0 14465596 146896 908612    0    0     0    68  112  101 11  0 87  2  0
 1  0      0 14468776 146896 908428    0    0     0     0   93   91 10  1 89  0  0
 1  0      0 14471768 146896 908428    0    0     0     0   99   84 10  0 90  0  0
 1  0      0 14474764 146896 908400    0    0     0     0   88   86 10  0 90  0  0
 1  0      0 14477980 146896 908256    0    0     0     0  111   98 10  0 90  0  0
 1  0      0 14481028 146904 908228    0    0     0    16   97   97 11  1 87  1  0
 1  0      0 14484020 146904 908160    0    0     0     0  104   92 10  1 89  0  0
 1  0      0 14487200 146904 907948    0    0     0     0   93   88 11  0 89  0  0
 1  0      0 14490192 146904 907948    0    0     0     0   98   87 10  0 90  0  0
 1  0      0 14493304 146904 907868    0    0     0     0   88   83 10  1 89  0  0
 1  0      0 14496228 146912 907860    0    0     0    16  105   98 10  0 89  1  0
 1  0      0 14499616 146912 907552    0    0     0     0   93   89 10  0 90  0  0
 1  0      0 14502540 146912 907544    0    0     0     0   97   79 10  1 89  0  0
 1  0      0 14505588 146912 907544    0    0     0     0   90   84 10  0 90  0  0
 1  0      0 14508512 146912 907544    0    0     0     0  106   97 10  0 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 14511736 146920 907392    0    0     0    16  102  106 10  0 89  1  0
 1  0      0 14514908 146920 907228    0    0     0     0  110   93 11  1 88  0  0
 1  0      0 14517832 146920 907228    0    0     0     0   86   83 10  0 90  0  0
 1  0      0 14521056 146920 907052    0    0     0    12  102   93 10  0 90  0  0
 1  0      0 14523980 146920 907052    0    0     0     0   94   88 10  0 90  0  0
 1  0      0 14527028 146928 907052    0    0     0    24  108  101 10  0 88  2  0
 1  0      0 14530020 146928 906988    0    0     0     0   93   86 10  0 90  0  0
 1  0      0 14533324 146928 906772    0    0     0     0  104   89 10  0 90  0  0
 1  0      0 14536248 146928 906772    0    0     0    96  112   94 10  0 90  0  0
 1  0      0 14539304 146928 906692    0    0     0     0  111   97 10  0 90  0  0
 1  0      0 14542296 146936 906684    0    0     0    36  101  102 10  0 87  3  0
 1  0      0 14545592 146936 906412    0    0     0     0  103   92 10  1 89  0  0
 1  0      0 14548504 146936 906412    0    0     0     0   87   84  9  0 91  0  0
 1  0      0 14551572 146936 906404    0    0     0     0   95   82 10  0 90  0  0
 1  0      0 14554764 146936 906192    0    0     0     8   93   90 10  0 90  0  0
 1  0      0 14557752 146944 906184    0    0     0    24  110  104  9  1 88  2  0
 1  0      0 14560868 146944 906116    0    0     0     0   92   90 10  0 90  0  0
 1  0      0 14563856 146944 906080    0    0     0     0  100   85 10  0 90  0  0
 1  0      0 14567048 146944 905868    0    0     0     0   86   85 10  0 90  0  0
 1  0      0 14570144 146944 905824    0    0     0     0  103   94  9  0 91  0  0
 1  0      0 14573192 146952 905748    0    0     0    16   93  100 10  0 89  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 14576400 146952 905584    0    0     0     0  105   94 10  1 89  0  0
 1  0      0 14579448 146952 905584    0    0     0     0   93   88 10  1 89  0  0
 1  0      0 14582372 146952 905588    0    0     0     0  101   88 10  0 90  0  0
 1  0      0 14585420 146952 905588    0    0     0     0   92   92 10  0 90  0  0
 1  0      0 14588684 146960 905312    0    0     0    16  105   98  9  0 87  4  0
 1  0      0 14591676 146960 905244    0    0     0     0   91   87 10  0 90  0  0
 1  0      0 14594656 146960 905212    0    0     0     0   94   82 10  0 90  0  0
 1  0      0 14597848 146960 905068    0    0     0     0   84   84  9  1 90  0  0
 1  0      0 14600828 146960 905012    0    0     0     0  102   89 10  0 90  0  0
 1  0      0 14603876 146968 905004    0    0     0    16   95  103 10  0 89  1  0
 1  0      0 14606932 146968 904908    0    0     0     0  108   93 10  0 90  0  0
 1  0      0 14610124 146968 904764    0    0     0     0   86   86 10  0 90  0  0
 1  0      0 14613244 146968 904608    0    0     0     0  103   88 10  0 90  0  0
 1  0      0 14616236 146968 904608    0    0     0    16   95   91 10  1 89  0  0
 1  0      0 14619224 146976 904588    0    0     0    24  104   98 10  0 88  2  0
 1  0      0 14622556 146976 904304    0    0     0     0   93   88 10  0 90  0  0
 1  0      0 14625668 146976 904256    0    0     0     0  105   88 11  0 89  0  0
 1  0      0 14628592 146976 904256    0    0     0     0   86   81 11  0 89  0  0
 1  0      0 14631640 146976 904256    0    0     0     0  107   94 11  0 89  0  0
 1  0      0 14634780 146984 904032    0    0     0    16  100  106 10  0 89  1  0
 1  0      0 14637960 146984 903924    0    0     0     0  105   93 11  0 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 14640884 146984 903924    0    0     0     0   88   80 11  0 89  0  0
 1  0      0 14644072 146984 903808    0    0     0     0   99   87 10  0 90  0  0
 1  0      0 14647236 146984 903596    0    0     0    32  100   92 11  1 88  0  0
 1  0      0 14650300 146992 903548    0    0     0    16  114  105 10  0 87  3  0
 1  0      0 14653364 146992 903480    0    0     0     0   98   93 10  1 89  0  0
 1  0      0 14656444 146992 903388    0    0     0     0   97   83 11  0 89  0  0
 1  0      0 14659652 146992 903176    0    0     0     0   86   83 11  0 89  0  0
 1  0      0 14662640 146992 903148    0    0     0     8  108   93 10  0 90  0  0
 1  0      0 14665688 147000 903140    0    0     0    24   98  101 11  0 87  2  0
 1  0      0 14668744 147000 903040    0    0     0     0  103  102 10  0 90  0  0
 1  0      0 14671952 147000 902824    0    0     0     0   95   88 11  1 88  0  0
 1  0      0 14675072 147000 902708    0    0     0     0  104   87 10  1 89  0  0
 1  0      0 14678064 147000 902708    0    0     0     0   94   87 11  0 89  0  0
 1  0      0 14681184 147008 902672    0    0     0    16  102   98 10  0 88  2  0
 1  0      0 14684324 147008 902460    0    0     0     0   95   90 11  0 89  0  0
 1  0      0 14687512 147008 902324    0    0     0     0  116  104 10  0 90  0  0
 1  0      0 14690504 147008 902324    0    0     0     0  117  125 12  1 87  0  0
 1  0      0 14693492 147008 902304    0    0     0     0  120  117 12  0 88  0  0
 1  0      0 14696720 147016 902080    0    0     0    16  153  365 12  5 82  1  0
 1  0      0 14699828 147016 902052    0    0     0     0  108   90 11  0 89  0  0
 1  0      0 14702892 147016 901984    0    0     0     0   88   84 11  1 88  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 14705944 147016 901904    0    0     0     0  117  448 14  2 84  0  0
 1  0      0 14708992 147016 901904    0    0     0     0  107  118 10  0 90  0  0
 1  0      0 14712132 147024 901684    0    0     0   112  106  107 11  0 87  2  0
 1  0      0 14715124 147024 901684    0    0     0     0   99   97 10  1 89  0  0
 1  0      0 14718120 147024 901656    0    0     0     0  111   93 11  0 89  0  0
 1  0      0 14721248 147024 901592    0    0     0     0   88   90 10  0 90  0  0
 1  0      0 14724456 147024 901300    0    0     0     0  111   95 10  1 89  0  0
 1  0      0 14727504 147032 901292    0    0     0    16  100  104 11  0 88  1  0
 1  0      0 14730484 147032 901356    0    0     0  5072  136  109 12  5 83  0  0
 1  0      0 14733408 147032 901356    0    0     0     0   87   85 11  0 89  0  0
 1  0      0 14736780 147032 900976    0    0     0     0   97   83 11  0 89  0  0
 1  0      0 14739772 147032 900976    0    0     0     0   90   84 10  0 90  0  0
 1  0      0 14742884 147040 900960    0    0     0   180  142  106 11  0 87  2  0
 1  0      0 14745932 147040 900960    0    0     0     0   94   93 10  1 89  0  0
 1  0      0 14749104 147040 900692    0    0     0     0   99   86 11  0 89  0  0
 1  0      0 14752220 147040 900624    0    0     0     0   88   80 10  0 90  0  0
 1  0      0 14755332 147040 900568    0    0     0     0  105   90 11  0 89  0  0
 1  0      0 14758256 147048 900560    0    0     0    24   97  102 10  0 88  2  0
 1  0      0 14761552 147048 900308    0    0     0     0  100   87 11  0 89  0  0
 1  0      0 14764632 147048 900312    0    0     0     0   88   82 11  0 89  0  0
 1  0      0 14767688 147048 900156    0    0     0     0  100   83 10  0 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 14770680 147048 900088    0    0     0     0   90   85 11  1 88  0  0
 1  0      0 14774008 147056 899816    0    0     0    24  105  101 10  0 87  3  0
 1  0      0 14777056 147056 899816    0    0     0     0   95   90 11  1 88  0  0
 1  0      0 14780128 147056 899764    0    0     0     0  101   86 10  0 90  0  0
 1  0      0 14783192 147056 899764    0    0     0     0   90   87 11  0 89  0  0
 0  0      0 14786124 147056 899716    0    0     0     0  112   99 11  0 89  0  0
 0  0      0 14789544 147064 899356    0    0     0    20  101  107 10  0 88  2  0
 0  0      0 14792592 147064 899352    0    0     0     0  108   90 11  0 89  0  0
 0  0      0 14795516 147064 899352    0    0     0     0   94   89 11  0 89  0  0
 0  0      0 14798588 147064 899312    0    0     0     0  106   88 10  0 90  0  0
 3  0      0 14801868 147064 898980    0    0     0     0   98   91 10  1 89  0  0
 0  0      0 14804932 147072 898972    0    0     0    40  113  105 11  0 86  3  0
 0  0      0 14808184 147072 898740    0    0     0     0   93   91 10  1 89  0  0
